ts,commit,eval,acertos,total,acuracia,detalhe
2026-08-10T19:52:20,1955f22,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-10T19:52:52,1955f22,roteamento,15,16,0.9375,anthropic/claude-haiku-4.5
2026-08-10T20:38:26-03:00,a1660da,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-10T20:44:11-03:00,a1660da,qualidade_resposta,11,12,0.9167,agente=anthropic/claude-sonnet-4.5 juiz=google/gemini-2.5-flash p50=5.2s
2026-08-10T20:44:40-03:00,a1660da,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-10T20:50:19-03:00,a1660da,qualidade_resposta,12,12,1.0000,agente=anthropic/claude-sonnet-4.5 juiz=google/gemini-2.5-flash p50=5.1s
2026-08-10T20:50:21-03:00,a1660da,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-10T20:56:00-03:00,a1660da,qualidade_resposta,11,12,0.9167,agente=anthropic/claude-haiku-4.5 juiz=google/gemini-2.5-flash p50=4.5s
2026-08-10T21:29:09-03:00,9fd4124,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-10T21:35:15-03:00,9fd4124,qualidade_resposta,14,14,1.0000,agente=anthropic/claude-sonnet-4.5 juiz=google/gemini-2.5-flash p50=6.5s
2026-08-11T12:48:33-03:00,9ba9657,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-11T12:49:11-03:00,9ba9657,roteamento,19,20,0.9500,anthropic/claude-haiku-4.5
2026-08-11T12:57:42-03:00,b897f67,datas_ptbr,21,21,1.0000,resolver_data determinístico
2026-08-11T12:58:18-03:00,b897f67,roteamento,21,22,0.9545,anthropic/claude-haiku-4.5
2026-08-11T13:26:46-03:00,654ee88,datas_ptbr,23,24,0.9583,resolver_data determinístico
2026-08-11T13:27:39-03:00,654ee88,datas_ptbr,24,24,1.0000,resolver_data determinístico
2026-08-11T14:34:22-03:00,4d0ce8a,datas_ptbr,24,24,1.0000,resolver_data determinístico
2026-08-11T14:35:12-03:00,4d0ce8a,roteamento,24,25,0.9600,anthropic/claude-haiku-4.5
2026-08-11T14:48:41-03:00,b1a3f70,datas_ptbr,24,24,1.0000,resolver_data determinístico
2026-08-11T14:49:25-03:00,b1a3f70,roteamento,26,27,0.9630,anthropic/claude-haiku-4.5
2026-08-11T15:37:23-03:00,8759f80,datas_ptbr,26,26,1.0000,resolver_data determinístico
2026-08-11T15:38:21-03:00,8759f80,roteamento,27,29,0.9310,anthropic/claude-haiku-4.5
2026-08-11T15:38:49-03:00,8759f80,datas_ptbr,26,26,1.0000,resolver_data determinístico
2026-08-11T15:39:34-03:00,8759f80,roteamento,28,29,0.9655,anthropic/claude-haiku-4.5
2026-08-11T20:25:25-03:00,e6e0519,datas_ptbr,26,26,1.0000,resolver_data determinístico
2026-08-11T20:26:07-03:00,e6e0519,roteamento,28,29,0.9655,anthropic/claude-haiku-4.5
2026-08-11T21:21:04-03:00,0bb1c60,datas_ptbr,30,30,1.0000,resolver_data determinístico
